"Day","Sales","Trading Profit","Operating Expense","Net Profit"
40,12243502,5144450,3558702,1585748
41,12489832,5333573,3640440,1693133
42,13228358,5365190,3789323,1575867
43,13338508,5417783,3868991,1548792
44,14045238,5527223,3951846,1575377
45,14325815,5513086,4084465,1428621
46,14675563,5740667,4173044,1567623
47,14855412,5833890,4248500,1585390
48,14931032,5861888,4353756,1508132
49,15002979,5879332,4401339,1477993
50,15072411,5894244,4475710,1418534